2023-10-05T00:06:39.362+02:00  INFO 24720 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:19:25.653+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.670+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.676+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::4::fomich ran successfully in 18ms
2023-10-05T00:19:25.681+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.703+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.708+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::5::fomich ran successfully in 21ms
2023-10-05T00:19:25.713+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.728+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.733+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.0.sql::1::fomich ran successfully in 15ms
2023-10-05T00:19:25.735+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.751+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.755+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::1::fomich ran successfully in 15ms
2023-10-05T00:19:25.758+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.778+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.783+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::2::fomich ran successfully in 19ms
2023-10-05T00:19:25.786+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.790+02:00  INFO 16992 --- [main] liquibase                                : Update command completed successfully.
2023-10-05T00:19:25.799+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.803+02:00  INFO 16992 --- [main] liquibase.lockservice                    : Successfully released change log lock
2023-10-05T00:19:25.927+02:00  INFO 16992 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-05T00:19:26.016+02:00  INFO 16992 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.9.Final
2023-10-05T00:19:26.019+02:00  INFO 16992 --- [main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-10-05T00:19:26.240+02:00  INFO 16992 --- [main] o.h.e.boot.internal.EnversServiceImpl    : Envers integration enabled? : true
2023-10-05T00:19:26.263+02:00  INFO 16992 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
2023-10-05T00:19:26.435+02:00  INFO 16992 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-05T00:19:26.878+02:00  INFO 16992 --- [main] o.h.e.c.i.m.AuditMetadataGenerator       : Adding properties for entity: com.fomich.netdata.database.entity.Multiplexer
2023-10-05T00:19:26.945+02:00  INFO 16992 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
2023-10-05T00:19:27.820+02:00  INFO 16992 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-05T00:19:28.133+02:00  INFO 16992 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:19:28.464+02:00  INFO 16992 --- [main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2023-10-05T00:19:29.107+02:00  INFO 16992 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-10-05T00:19:29.117+02:00  INFO 16992 --- [main] com.fomich.netdata.NetdataApplication    : Started NetdataApplication in 6.829 seconds (process running for 9.281)
2023-10-05T00:24:16.580+02:00  INFO 16992 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:24:16.581+02:00  INFO 16992 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2023-10-05T00:24:16.591+02:00  INFO 16992 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2023-10-05T00:25:50.037+02:00  INFO 5748 --- [main] com.fomich.netdata.NetdataApplication    : Starting NetdataApplication using Java 17.0.8 with PID 5748 (D:\javaprojects\netdata\build\classes\java\main started by fomic in D:\javaprojects\netdata)
2023-10-05T00:25:50.039+02:00  INFO 5748 --- [main] com.fomich.netdata.NetdataApplication    : No active profile set, falling back to 1 default profile: "default"
2023-10-05T00:25:50.592+02:00  INFO 5748 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-05T00:25:50.654+02:00  INFO 5748 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 54 ms. Found 2 JPA repository interfaces.
2023-10-05T00:25:51.426+02:00  INFO 5748 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-10-05T00:25:51.436+02:00  INFO 5748 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-10-05T00:25:51.436+02:00  INFO 5748 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-10-05T00:25:51.537+02:00  INFO 5748 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-10-05T00:25:51.538+02:00  INFO 5748 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1446 ms
2023-10-05T00:25:51.689+02:00  INFO 5748 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-10-05T00:25:51.861+02:00  INFO 5748 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@481b2f10
2023-10-05T00:25:51.862+02:00  INFO 5748 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-10-05T00:25:52.013+02:00  INFO 5748 --- [main] liquibase.database                       : Set default schema name to public
2023-10-05T00:25:52.192+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.202+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.209+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.218+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.224+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.227+02:00  INFO 5748 --- [main] liquibase.lockservice                    : Successfully acquired change log lock
2023-10-05T00:25:52.253+02:00  INFO 5748 --- [main] liquibase.changelog                      : Creating database history table with name: public.databasechangelog
2023-10-05T00:25:52.264+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.271+02:00  INFO 5748 --- [main] liquibase.changelog                      : Reading from public.databasechangelog
2023-10-05T00:25:52.275+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.282+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.377+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.381+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::1::fomich ran successfully in 31ms
2023-10-05T00:25:52.386+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.390+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.404+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.407+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::2::fomich ran successfully in 13ms
2023-10-05T00:25:52.410+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.429+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.434+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::3::fomich ran successfully in 18ms
2023-10-05T00:25:52.437+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.453+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.456+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::4::fomich ran successfully in 15ms
2023-10-05T00:25:52.460+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.487+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.492+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::5::fomich ran successfully in 26ms
2023-10-05T00:25:52.495+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.513+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.518+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.0.sql::1::fomich ran successfully in 18ms
2023-10-05T00:25:52.522+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.536+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.540+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::1::fomich ran successfully in 14ms
2023-10-05T00:25:52.545+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.558+02:00  INFO 5748 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:25:52.562+02:00  INFO 5748 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-2.1.sql::2::fomich ran successfully in 14ms
2023-10-05T00:25:52.565+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.569+02:00  INFO 5748 --- [main] liquibase                                : Update command completed successfully.
2023-10-05T00:25:52.575+02:00  INFO 5748 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:25:52.578+02:00  INFO 5748 --- [main] liquibase.lockservice                    : Successfully released change log lock
2023-10-05T00:25:52.670+02:00  INFO 5748 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-05T00:25:52.747+02:00  INFO 5748 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.9.Final
2023-10-05T00:25:52.751+02:00  INFO 5748 --- [main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-10-05T00:25:52.908+02:00  INFO 5748 --- [main] o.h.e.boot.internal.EnversServiceImpl    : Envers integration enabled? : true
2023-10-05T00:25:52.931+02:00  INFO 5748 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
2023-10-05T00:25:53.082+02:00  INFO 5748 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-05T00:25:53.470+02:00  INFO 5748 --- [main] o.h.e.c.i.m.AuditMetadataGenerator       : Adding properties for entity: com.fomich.netdata.database.entity.Multiplexer
2023-10-05T00:25:53.533+02:00  INFO 5748 --- [main] o.h.b.i.BytecodeProviderInitiator        : HHH000021: Bytecode provider name : bytebuddy
2023-10-05T00:25:54.401+02:00  INFO 5748 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-05T00:25:54.701+02:00  INFO 5748 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
